 | 3ESOG | AOV   | MAC   | 426   | 1 | 5 | 
 | 1ESOI | AOV   | MAT   | 203   | 1 | 6 | 
 | 1ESOI | AOV   | MAT   | 203   | 2 | 5 | 
 | 1ESOB | AOV   | MAT   | 402   | 2 | 6 | 
 | 1ESOA | AOV   | MAT   | 401   | 2 | 7 | 
 | 3ESOG | AOV   | MAC   | 426   | 3 | 1 | 
 | 1ESOA | AOV   | TUT   | 401   | 3 | 2 | 
 | 1ESOB | AOV   | MAT   | 402   | 3 | 3 | 
 | 1ESOI | AOV   | MAT   | 203   | 3 | 5 | 
 | 1ESOA | AOV   | MAT   | 401   | 3 | 6 | 
 | 3ESOG | AOV   | MAC   | 426   | 4 | 1 | 
 | 1ESOA | AOV   | MAT   | 401   | 4 | 2 | 
 | 1ESOI | AOV   | MAT   | 203   | 4 | 3 | 
 | 1ESOB | AOV   | MAT   | 402   | 4 | 6 | 
 | 3ESOG | AOV   | MAC   | 426   | 5 | 5 | 
 | 1BPA  | APM   | DTEL  |       | 1 | 5 | 
 | 1BSH  | APM   | CEYE  | 524   | 1 | 7 | 
 | 1BPA  | APM   | DTEL  |       | 2 | 2 | 
 | 1BPA  | APM   | DTEL  |       | 2 | 6 | 
 | 4ESOA | APM   | ECO   | 303   | 2 | 7 | 
 | 1BPA  | APM   | ECO   |       | 2 | 10 | 
 | 1BPA  | APM   | ECO   |       | 2 | 11 | 
 | 1BSH  | APM   | CEYE  | 524   | 3 | 3 | 
 | 4ESOA | APM   | ECO   | 303   | 3 | 7 | 
 | 2BPA  | APM   | ECE   |       | 4 | 9 | 
 | 2BPA  | APM   | ECE   |       | 4 | 10 | 
 | 1BPA  | APM   | CEYE  |       | 4 | 11 | 
 | 2BPA  | APM   | DTEL  |       | 5 | 3 | 
 | 2BPA  | APM   | DTEL  |       | 5 | 5 | 
 | 4ESOA | APM   | ECO   | 303   | 5 | 7 | 
 | 2ESOA | ARC   | MUS   | 4S    | 1 | 1 | 
 | 2ESOG | ARC   | MUS   | 416   | 1 | 2 | 
 | 2ESOD | ARC   | MUS   | 4S    | 1 | 6 | 
 | 2ESOC | ARC   | MUS   | 4S    | 1 | 7 | 
 | 1ESOI | ARC   | MuS   | 4S    | 2 | 1 | 
 | 4ESOB | ARC   | MUS   | TIC2  | 2 | 2 | 
 | 4ESOC | ARC   | MUS   | TIC2  | 2 | 2 | 
 | 4ESOF | ARC   | MUS   | TIC2  | 2 | 2 | 
 | 2ESOF | ARC   | MUS   | 4S    | 2 | 6 | 
 | 2ESOE | ARC   | MUS   | 4S    | 2 | 7 | 
 | 2ESOA | ARC   | MUS   | 422   | 3 | 1 | 
 | 4ESOB | ARC   | MUS   | 4S    | 3 | 3 | 
 | 4ESOC | ARC   | MUS   | 4S    | 3 | 3 | 
 | 4ESOF | ARC   | MUS   | 4S    | 3 | 3 | 
 | 2ESOC | ARC   | MUS   | 4S    | 3 | 5 | 
 | 1ESOI | ARC   | MuS   | 4S    | 4 | 1 | 
 | 2ESOD | ARC   | MUS   | 4S    | 4 | 2 | 
 | 4ESOB | ARC   | MUS   | 4S    | 4 | 3 | 
 | 4ESOC | ARC   | MUS   | 4S    | 4 | 3 | 
 | 4ESOF | ARC   | MUS   | 4S    | 4 | 3 | 
 | 2ESOF | ARC   | MUS   | 4S    | 4 | 6 | 
 | 2ESOE | ARC   | MUS   | 4S    | 4 | 7 | 
 | 2ESOG | ARC   | MUS   | 4S    | 5 | 1 | 
 | 2AFI  | ARG   | GRH   | 114   | 1 | 1 | 
 | 1ESOF | ARG   | LIBD1 | 112   | 1 | 5 | 
 | 1ESOG | ARG   | LIBD1 | 112   | 1 | 5 | 
 | 2ESOB | ARG   | LCL   | 423   | 1 | 6 | 
 | 2GA   | ARG   | TDC   | 100   | 1 | 6 | 
 | 1ESOI | ARG   | LCL   | 203   | 1 | 7 | 
 | 1ESOH | ARG   | LCL   | 202   | 2 | 1 | 
 | 2GA   | ARG   | TDC   | 100   | 2 | 1 | 
 | 2AFI  | ARG   | GRH   | 114   | 2 | 2 | 
 | 2ESOG | ARG   | LIBD1 | 416   | 2 | 3 | 
 | 1ESOH | ARG   | LIBD1 | 408   | 2 | 6 | 
 | 1ESOI | ARG   | LIBD1 | 408   | 2 | 6 | 
